OBJECTID,COD_DEP,DPTO,COD_MUN,MPIO,HaNatura,HaAgro,HanoAgro,HaOtro,PrPropia,PrArrien,PrAparce,PrUsufru,PrComoda,PrOcupac,PrColect,PrAdjudi,PrOtros,PrMixta,UPA,UPNA,Shape_Length_1,Shape_Area_1,ShapeSTArea,ShapeSTLength,cluster
380,52.0,Nariño,52427.0,Magüi,135210.3,31235.9,8.3,11921.8,851.0,13.0,0.0,9.0,0.0,1.0,805.0,0.0,10.0,2.0,178368.0,8.3,2.37026924,0.14164152,1756219573.1385,261548.461009093,1
381,52.0,Nariño,52435.0,Mallama,33711.8,13735.2,1336.8,7792.7,1963.0,181.0,12.0,10.0,0.0,4.0,122.0,21.0,33.0,1.0,55239.8,1336.8,1.26664915,0.06600033,818028378.814306,140244.358025713,1
382,52.0,Nariño,52473.0,Mosquera,64099.6,8890.8,1.8,3530.2,577.0,19.0,4.0,60.0,2.0,1.0,362.0,0.0,13.0,0.0,76520.5,1.8,1.37060628,0.06776817,840544187.010578,152513.486701172,1
383,52.0,Nariño,52480.0,Nariño,758.4,1707.5,13.8,41.1,642.0,76.0,9.0,8.0,0.0,0.0,10.0,1.0,1.0,36.0,2507.1,13.8,0.36811413,0.00401639,49784488.2675114,39956.3466433201,1
384,52.0,Nariño,52490.0,Olaya Herrera,71401.4,25667.4,458.2,2059.7,1261.0,24.0,2.0,0.0,5.0,0.0,1405.0,0.0,7.0,4.0,99128.4,458.2,1.78859972,0.07888264,978307585.052928,198225.274390145,1
385,52.0,Nariño,52506.0,Ospina,218.3,4992.0,265.8,742.9,1366.0,318.0,146.0,23.0,0.0,12.0,14.0,4.0,208.0,74.0,5953.2,265.8,0.34767466,0.00524826,65042015.2947567,37486.9096199182,1
386,52.0,Nariño,52520.0,Francisco Pizarro,33354.6,17892.2,185.7,3338.2,1237.0,8.0,0.0,0.0,0.0,0.0,526.0,0.0,4.0,4.0,54585.0,185.7,1.40346041,0.0536008,664690111.099712,155741.811055711,1
387,52.0,Nariño,52540.0,Policarpa,29275.4,12741.4,1118.4,17.8,1120.0,74.0,12.0,4.0,4.0,13.0,377.0,0.0,41.0,1.0,42034.7,1118.4,1.16664361,0.03576657,443387446.184359,129328.082070859,1
388,52.0,Nariño,52560.0,Potosí,9496.8,24342.1,437.0,2488.2,1477.0,262.0,251.0,57.0,9.0,6.0,8.0,182.0,14.0,131.0,36327.1,437.0,1.1223272,0.03010644,373114685.906148,123011.640605111,1
389,52.0,Nariño,52565.0,Providencia,488.8,3279.0,73.2,16.1,1543.0,119.0,42.0,31.0,3.0,4.0,20.0,1.0,1.0,34.0,3783.8,73.2,0.372259,0.00314705,39002551.2689828,39802.1514219418,1
390,52.0,Nariño,52573.0,Puerres,19770.1,12667.6,1004.4,112.9,2112.0,666.0,143.0,38.0,5.0,7.0,15.0,1.0,41.0,168.0,32550.6,1004.4,1.15195878,0.03154398,390931760.507775,126547.526446305,1
391,52.0,Nariño,52585.0,Pupiales,499.8,11657.3,354.4,285.8,3955.0,1081.0,173.0,61.0,25.0,9.0,12.0,11.0,59.0,128.0,12442.9,354.4,0.60808805,0.01049249,130040393.51476,65631.8583257379,1
392,52.0,Nariño,52612.0,Ricaurte,103041.3,400.6,9.3,2196.6,1477.0,90.0,7.0,2.0,2.0,0.0,2460.0,1.0,21.0,5.0,105638.5,9.3,1.9728285,0.09050655,1121812391.39265,219403.595561891,1
393,52.0,Nariño,52621.0,Roberto Payán,114622.4,23464.8,6.4,6452.1,1786.0,35.0,0.0,1.0,0.0,5.0,977.0,0.0,9.0,4.0,144539.4,6.4,2.06942085,0.10646567,1320019657.50187,228370.702107453,1
394,52.0,Nariño,52678.0,Samaniego,24656.1,33667.0,1544.5,666.4,8675.0,984.0,231.0,59.0,86.0,7.0,34.0,449.0,51.0,6.0,58989.5,1544.5,1.79984128,0.06277484,778127332.854498,198140.683713206,1
395,52.0,Nariño,52683.0,Sandoná,238.8,9149.8,177.4,125.0,5429.0,358.0,83.0,23.0,3.0,3.0,20.0,3.0,87.0,74.0,9513.6,177.4,0.48364091,0.00819085,101523165.843293,53369.4212462791,1
396,52.0,Nariño,52685.0,San Bernardo,1367.0,4854.9,46.6,119.6,1654.0,275.0,23.0,10.0,1.0,1.0,0.0,1.0,17.0,5.0,6341.5,46.6,0.44997228,0.00510142,63241542.8105665,49378.8755038673,1
397,52.0,Nariño,52687.0,San Lorenzo,1187.0,21406.6,1676.6,410.1,4096.0,332.0,149.0,33.0,1.0,10.0,26.0,3.0,29.0,139.0,23003.6,1676.6,0.80211063,0.02014086,249684917.331376,86627.2260217761,1
398,52.0,Nariño,52693.0,San Pablo,607.0,9876.9,686.1,57.5,3442.0,193.0,37.0,13.0,20.0,5.0,10.0,5.0,14.0,58.0,10541.3,686.1,0.50009367,0.00894949,110956447.14598,54246.3517251686,1
399,52.0,Nariño,52694.0,San Pedro de Cartago,234.0,4967.5,426.6,58.1,1310.0,60.0,24.0,13.0,1.0,4.0,4.0,5.0,63.0,40.0,5259.6,426.6,0.37759803,0.00452194,56052386.2004399,40812.0055491504,1
400,52.0,Nariño,52696.0,Santa Bárbara,78796.7,39152.3,1271.3,2331.3,1100.0,12.0,3.0,4.0,2.0,3.0,548.0,369.0,55.0,0.0,120280.3,1271.3,2.253633,0.10542229,1307494680.55518,250176.413461154,1
401,52.0,Nariño,52699.0,Santacruz,50890.0,1881.7,4.8,1512.3,1516.0,121.0,13.0,24.0,4.0,7.0,31.0,1294.0,19.0,2.0,54284.0,4.8,1.10432619,0.03465262,429515976.598849,121256.757529881,1
402,52.0,Nariño,52720.0,Sapuyes,662.8,10188.9,78.7,50.1,1323.0,209.0,23.0,74.0,11.0,0.0,9.0,3.0,9.0,71.0,10901.7,78.7,0.67331648,0.00934622,115832347.423503,72283.0318796171,1
403,52.0,Nariño,52786.0,Taminango,423.6,21452.5,886.2,258.7,4065.0,853.0,144.0,11.0,3.0,31.0,76.0,14.0,200.0,397.0,22134.8,886.2,0.66005484,0.01895849,235017493.630352,72649.0267875143,1
404,52.0,Nariño,52788.0,Tangua,1530.4,11722.4,7273.2,175.6,3850.0,376.0,70.0,3.0,2.0,1.0,31.0,6.0,109.0,15.0,13428.5,7273.2,0.78404329,0.01688744,209228685.398008,84222.7080454799,1
405,52.0,Nariño,52835.0,San Andres de Tumaco,187782.7,161185.7,1297.0,7114.2,5728.0,108.0,8.0,68.0,3.0,4.0,7187.0,4.0,129.0,6.0,356082.6,1297.0,5.23970705,0.30436227,3773210727.35803,577669.857903398,1
406,52.0,Nariño,52838.0,Túquerres,2976.2,13842.3,2926.5,649.4,3580.0,588.0,106.0,35.0,3.0,4.0,17.0,8.0,99.0,304.0,17467.9,2926.5,0.81996214,0.01778325,220425973.551419,87532.4591826515,1
407,52.0,Nariño,52885.0,Yacuanquer,1088.9,8608.8,177.5,149.3,2184.0,232.0,149.0,19.0,3.0,1.0,4.0,2.0,54.0,53.0,9847.0,177.5,0.44343176,0.00819855,101623494.839753,48882.1057313952,1
408,50.0,Meta,50001.0,Villavicencio,19904.0,85635.8,16687.2,3324.0,2162.0,396.0,32.0,15.0,27.0,3.0,14.0,3.0,87.0,55.0,108863.8,16687.2,2.15956459,0.10691225,1328228966.04457,238524.639296979,1
409,50.0,Meta,50006.0,Acacías,24117.2,79296.5,5958.0,3650.1,886.0,89.0,6.0,1.0,0.0,7.0,1.0,1.0,64.0,56.0,107063.8,5958.0,2.0919176,0.09128836,1134013303.20595,231970.420967259,1
410,50.0,Meta,50110.0,Barranca de Upía,4011.4,38005.3,1235.1,157.5,251.0,29.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,5.0,42174.1,1235.1,1.334115,0.03447283,428539089.822363,147114.612123398,1
411,50.0,Meta,50124.0,Cabuyaro,5778.2,77444.6,5658.5,1034.4,396.0,56.0,1.0,0.0,0.0,4.0,2.0,0.0,39.0,4.0,84257.2,5658.5,2.0641386,0.07425721,922806979.804626,228480.721713541,1
412,50.0,Meta,50150.0,Castilla La Nueva,7516.3,39797.4,237.8,730.8,431.0,51.0,0.0,1.0,1.0,0.0,3.0,0.0,3.0,76.0,48044.4,237.8,1.36347848,0.0411361,510883507.860688,151102.15774224,1
413,50.0,Meta,50223.0,Cubarral,73173.8,44973.6,755.8,426.6,595.0,22.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,58.0,118574.1,755.8,2.0859569,0.09311224,1156397681.29957,231162.613756798,1
414,50.0,Meta,50226.0,Cumaral,12035.0,45909.4,1957.7,539.3,740.0,115.0,4.0,8.0,0.0,0.0,10.0,0.0,7.0,47.0,58483.6,1957.7,1.94496042,0.05033826,625498450.783652,213442.91259651,1
415,50.0,Meta,50245.0,El Calvario,10379.4,15999.4,518.7,69.7,597.0,40.0,1.0,12.0,8.0,1.0,8.0,1.0,46.0,44.0,26448.4,518.7,0.80269825,0.02277579,283056102.432587,88411.7729815575,1
416,50.0,Meta,50251.0,El Castillo,14284.2,32711.2,1820.8,476.5,1028.0,284.0,1.0,9.0,11.0,2.0,22.0,0.0,17.0,69.0,47471.9,1820.8,1.15789545,0.04658454,578416665.641461,128302.141394299,1
417,50.0,Meta,50270.0,El Dorado,1560.3,8762.0,418.5,179.1,353.0,22.0,3.0,2.0,1.0,2.0,19.0,0.0,9.0,64.0,10501.4,418.5,0.43144782,0.00945454,117406705.437978,47712.5085603586,1
418,50.0,Meta,50287.0,Fuente de Oro,5059.9,47969.1,1362.2,985.6,802.0,236.0,13.0,0.0,4.0,1.0,7.0,0.0,17.0,58.0,54014.6,1362.2,1.25890628,0.04445735,551900515.519091,137684.565437711,1
419,50.0,Meta,50313.0,Granada,1265.9,31103.2,1186.0,222.7,1589.0,753.0,58.0,2.0,3.0,1.0,15.0,1.0,14.0,17.0,32591.8,1186.0,1.07781911,0.02845947,353321213.731319,119030.116597722,1
420,50.0,Meta,50318.0,Guamal,48665.5,13370.1,8.4,248.4,304.0,19.0,0.0,4.0,0.0,0.0,20.0,0.0,0.0,42.0,62284.1,8.4,1.45980835,0.05022572,623918428.078344,161846.349280907,1
421,50.0,Meta,50325.0,Mapiripán,519908.0,666136.1,2982.5,5045.5,671.0,57.0,3.0,0.0,2.0,0.0,12.0,0.0,36.0,39.0,1191089.7,2982.5,8.54748811,0.96950688,12032006094.6176,933164.504160843,0
422,50.0,Meta,50330.0,Mesetas,160993.6,66084.1,353.7,788.6,983.0,79.0,4.0,0.0,0.0,0.0,56.0,0.0,29.0,104.0,227866.4,353.7,3.76433859,0.16411946,2036886382.70775,415868.466372546,1
423,50.0,Meta,50350.0,La Macarena,593129.2,489279.6,333.3,3506.9,1246.0,49.0,5.0,16.0,1.0,0.0,55.0,2.0,20.0,0.0,1085915.7,333.3,4.92745763,0.85629164,10618638974.3669,547324.552829082,0
424,50.0,Meta,50370.0,Uribe,508562.7,119972.3,222.6,4761.5,1085.0,50.0,2.0,18.0,3.0,3.0,72.0,0.0,17.0,7.0,633296.6,222.6,5.0870948,0.55074006,6768782680.36952,538406.436321341,0
425,50.0,Meta,50400.0,Lejanías,48676.5,29752.8,92.9,762.5,1360.0,181.0,0.0,2.0,3.0,1.0,2.0,0.0,16.0,92.0,79191.8,92.9,1.73536115,0.06564758,815130436.948829,191870.460978374,1
