OBJECTID,COD_DEP,DPTO,COD_MUN,MPIO,HaNatura,HaAgro,HanoAgro,HaOtro,PrPropia,PrArrien,PrAparce,PrUsufru,PrComoda,PrOcupac,PrColect,PrAdjudi,PrOtros,PrMixta,UPA,UPNA,Shape_Length_1,Shape_Area_1,ShapeSTArea,ShapeSTLength
836,15,Boyacá,15572,Puerto Boyacá,9676,119764.2,16375.4,538.7,929,60,0,9,3,2,1,0,7,73,129979,16375.4,2.56468979,0.12304774,1533078163.15537,282428.118455186
837,15,Boyacá,15580,Quípama,1298.9,9008.4,3116.2,25.2,537,31,36,25,1,1,33,0,6,0,10332.4,3116.2,0.83848427,0.01298836,161704094.099204,90200.740586632
838,15,Boyacá,15599,Ramiriquí,2450,7169,252.3,1902.3,2970,572,50,33,6,5,24,10,98,423,11521.3,252.3,0.76131472,0.00992961,123566367.705205,83556.1367598549
839,15,Boyacá,15600,Ráquira,8811.6,10815.4,1454.5,298.9,1619,403,44,94,29,0,34,30,382,282,19925.9,1454.5,0.744129,0.01758636,218926904.6503,81067.7350778685
840,15,Boyacá,15621,Rondón,4825.8,13058.6,267.7,211.4,1718,280,20,10,0,6,19,7,22,194,18095.8,267.7,0.64078132,0.01626394,202436765.243085,71153.6085985084
841,15,Boyacá,15632,Saboyá,2430.1,22044.3,102.8,278,4713,1060,119,95,14,18,211,43,286,731,24752.4,102.8,0.80697702,0.02030251,252841177.600057,87623.1405172867
842,15,Boyacá,15638,Sáchica,875.6,3190.6,1510.5,355.8,551,141,38,0,0,0,0,1,31,18,4422,1510.5,0.37386458,0.00523734,65214443.9527726,40562.7842256096
843,15,Boyacá,15646,Samacá,10377.6,5030,455.5,189.3,3430,480,30,1,1,1,25,6,6,116,15596.9,455.5,0.70592814,0.01414066,176039783.080246,76852.4423849504
844,15,Boyacá,15660,San Eduardo,3312.7,7056.6,50,41.8,416,124,7,0,2,4,1,0,107,119,10411.1,50,0.4522369,0.00866944,107873457.295014,50073.7318436357
845,15,Boyacá,15664,San José de Pare,274.8,8776.1,68.9,15.9,1949,180,32,5,1,1,11,0,2,36,9066.8,68.9,0.37661862,0.0060848,75816864.392882,41404.8546824961
846,15,Boyacá,15667,San Luis de Gaceno,11342.5,30490.6,1555.3,432.5,850,126,16,2,0,2,17,1,17,150,42265.5,1555.3,1.15713953,0.03834516,476861794.30132,127659.920672778
847,15,Boyacá,15673,San Mateo,1845,10307.8,84.3,53.4,477,187,35,21,5,0,103,6,236,401,12206.3,84.3,0.51829268,0.00990737,123536628.443942,57226.6782042595
848,15,Boyacá,15676,San Miguel de Sema,1450.8,6893.5,241.1,275.7,1615,535,55,9,2,5,120,13,42,135,8620,241.1,0.46854952,0.00772441,96152667.8880352,51703.5151066155
849,15,Boyacá,15681,San Pablo de Borbur,2835.3,16987.1,137.1,8.4,862,75,0,0,0,7,16,0,33,100,19830.7,137.1,0.63487583,0.01597348,198924905.78899,69990.5213683754
850,15,Boyacá,15686,Santana,1105.4,10588.6,2.9,88.5,1426,131,93,48,2,4,109,11,29,65,11782.5,2.9,0.34299619,0.0056438,70326619.32264,37879.3117557689
851,15,Boyacá,15690,Santa María,9721.2,22294.4,177,127.1,497,69,0,14,1,10,23,0,131,211,32142.7,177,1.04939017,0.02521997,313633968.947033,115109.471887881
852,15,Boyacá,15693,Santa Rosa de Viterbo,3249.2,7574.4,75.9,566.8,1871,553,46,10,5,2,20,9,72,205,11390.4,75.9,0.72655963,0.00958416,119393009.684426,79694.7630511212
853,15,Boyacá,15696,Santa Sofía,719.3,6318.8,616.6,77,950,377,48,60,21,25,3,0,58,170,7115.1,616.6,0.43513978,0.0062616,77980058.7617965,46181.7667997759
854,15,Boyacá,15720,Sativanorte,1815.2,13969.2,110.4,284.6,859,513,27,138,21,2,56,4,116,234,16069,110.4,0.69298839,0.01317135,164171290.992154,76366.4030542376
855,15,Boyacá,15723,Sativasur,327.3,4924.9,29.9,30.4,401,391,14,0,7,0,6,1,166,93,5282.6,29.9,0.44113754,0.00442899,55200840.9079468,48643.1708425306
856,15,Boyacá,15740,Siachoque,501.3,10147.5,162.6,1410.6,1723,715,354,45,17,6,20,7,46,635,12059.4,162.6,0.54240732,0.00996457,124042900.629352,59496.3922174249
857,15,Boyacá,15753,Soatá,3631.7,8129.1,208.5,120.8,1476,242,78,3,1,1,27,6,375,148,11881.7,208.5,0.44430459,0.00912881,113823995.008445,48813.6399836813
858,15,Boyacá,15755,Socotá,31999.3,29933.5,390.7,764.9,5347,2015,286,270,49,7,158,35,472,22,62697.7,390.7,1.37470012,0.0508682,633741805.111875,150566.180357791
859,15,Boyacá,15757,Socha,4243.8,8981.6,894.2,942.3,1904,610,70,79,144,28,19,8,103,335,14167.7,894.2,0.58702989,0.01254402,156286724.450387,64615.2029875676
860,15,Boyacá,15759,Sogamoso,2995.5,13283.1,2296.8,584.2,5305,1084,88,8,5,4,166,12,31,1220,16862.7,2296.8,0.73707169,0.01692331,210748384.045419,80530.8775482344
861,15,Boyacá,15761,Somondoco,301.8,5502.9,30,20.8,1144,266,50,5,11,28,93,12,764,46,5825.6,30,0.37691704,0.00491743,61164041.235238,41188.9596742559
862,15,Boyacá,15762,Sora,215.1,4271.6,359.8,32.8,709,110,104,52,0,1,85,1,9,95,4519.5,359.8,0.30535031,0.00382941,47677489.195676,33188.2871779289
863,15,Boyacá,15763,Sotaquirá,18500.2,8604.6,176.5,342.7,2985,783,104,28,8,10,37,10,44,302,27447.4,176.5,0.84789056,0.02264577,282065591.183561,92650.3798763516
864,15,Boyacá,15764,Soracá,120.1,5678.8,24,8.3,1896,684,79,1,0,0,0,2,104,250,5807.2,24,0.35867873,0.0045338,56447459.8198773,39239.4948111686
865,15,Boyacá,15774,Susacón,3479.4,13842.9,437,180.9,1137,475,47,152,10,1,23,12,83,211,17503.2,437,0.74318971,0.01501621,187179268.481798,81785.8448194724
866,15,Boyacá,15776,Sutamarchán,1866.4,6841.6,290.1,303,1723,283,37,8,41,9,58,7,133,139,9011.1,290.1,0.48228696,0.00892617,111158632.672025,51935.1790064837
867,15,Boyacá,15778,Sutatenza,17,4395.6,10.9,9.7,1394,352,26,27,88,21,22,2,85,364,4422.3,10.9,0.31310674,0.00326955,40671128.6851556,33869.9893113439
868,15,Boyacá,15790,Tasco,4386.5,16415.8,61.1,226.5,1997,577,81,7,44,6,48,7,57,317,21028.8,61.1,0.8154686,0.01718477,214101388.721131,89693.1530582269
869,15,Boyacá,15798,Tenza,31.5,4511.8,38.9,12.7,2045,551,88,132,46,6,13,2,94,237,4556,38.9,0.3346869,0.00379775,47255248.5129321,35890.1586835037
870,15,Boyacá,15804,Tibaná,1262.9,9493.4,337.1,76.6,3241,956,156,84,30,32,59,13,206,471,10832.9,337.1,0.54733486,0.01028179,127958574.492439,59939.2981449785
871,15,Boyacá,15806,Tibasosa,1322.8,5698.9,1297.3,74.1,1989,519,56,2,3,0,81,5,118,166,7095.8,1297.3,0.52882922,0.00768625,95730559.4230615,57171.640926719
872,15,Boyacá,15808,Tinjacá,2056.9,5575.7,184.9,101.9,487,78,3,14,0,0,10,3,30,37,7734.5,184.9,0.39372218,0.00649106,80824491.5180499,43146.0274358993
873,15,Boyacá,15810,Tipacoque,1361.7,5708.7,19.6,26.7,1080,325,20,221,12,1,10,0,72,92,7097.2,19.6,0.36535026,0.00588721,73404185.2536715,40172.3433215766
874,15,Boyacá,15814,Toca,1345.1,14098.7,538.2,64.5,1714,606,109,25,2,7,47,8,78,211,15508.4,538.2,0.55086679,0.01374897,171187135.288196,60174.9879831844
875,15,Boyacá,15816,Togüí,2072.6,8318.2,66.7,62.3,567,117,197,21,0,1,49,2,2,121,10453.1,66.7,0.49667739,0.00852116,106167007.047211,54528.6095075962
876,15,Boyacá,15820,Tópaga,757,1970.5,350.1,239.3,1351,461,20,10,0,0,4,2,321,113,2966.8,350.1,0.27511402,0.00275372,34300377.5287536,30073.5884302808
877,15,Boyacá,15822,Tota,1231.1,9654.7,6312,480,2320,784,90,0,1,0,49,6,765,533,11365.8,6312,0.63231261,0.01504294,187259046.57038,69353.3720394614
878,15,Boyacá,15832,Tununguá,481.4,2186.3,41.6,6.2,330,35,3,0,1,1,56,5,56,24,2673.9,41.6,0.23683481,0.00240452,29941129.9116298,25907.9324456452
879,15,Boyacá,15835,Turmequé,662.5,6477.4,60.6,45.8,2368,763,62,19,3,8,19,4,52,462,7185.6,60.6,0.42282127,0.00662515,82462123.07397,46343.0959121696
880,15,Boyacá,15837,Tuta,1589.2,14274.1,114.1,97.6,2101,505,57,60,20,3,8,2,154,372,15960.9,114.1,0.7170056,0.01341844,167100422.889862,76716.147008829
881,15,Boyacá,15839,Tutazá,1952.7,9311.1,7.6,34.6,694,395,1,45,1,9,19,1,9,105,11298.5,7.6,0.50847075,0.01005353,125282100.446184,55587.9628802653
882,15,Boyacá,15842,Umbita,2041.1,10647.3,1125,260.4,3520,679,69,24,4,3,22,0,64,381,12948.8,1125,0.54233229,0.01171231,145752352.79917,59548.9098327703
883,15,Boyacá,15861,Ventaquemada,2443.5,13490.8,218.4,295,4675,1769,206,69,41,3,81,34,454,648,16229.2,218.4,0.68535875,0.01274158,158595385.012815,74556.00232574
